City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Asmar,AF,35.0333,71.3581,45.5,36,0,12.01,clear sky
215,Berlevag,NO,70.8578,29.0864,41.0,55,13,16.04,few clouds
216,Graciano Sanchez,MX,23.9167,-99.2833,56.35,71,39,5.39,scattered clouds
217,Pahrump,US,36.2083,-115.9839,53.65,27,0,1.01,clear sky
218,Kabelvag,NO,68.2114,14.4817,32.02,53,41,8.12,scattered clouds
219,Bolu,TR,40.6667,31.5833,41.81,66,58,4.32,broken clouds
220,Beloha,MG,-25.1667,45.05,65.19,89,0,4.74,clear sky
221,Torbay,CA,47.6666,-52.7314,33.58,79,100,5.75,overcast clouds
222,Cidreira,BR,-30.1811,-50.2056,66.63,61,0,4.29,clear sky
223,Kutum,SD,14.2,24.6667,59.11,31,84,5.1,broken clouds
224,Iqaluit,CA,63.7506,-68.5145,8.33,85,100,14.97,light snow
225,Barela,IN,23.1,80.05,63.45,57,0,1.72,clear sky
226,Saint-Philippe,RE,-21.3585,55.7679,65.79,75,19,5.68,few clouds
227,Mrakovo,RU,52.7161,56.6244,18.45,96,100,3.36,overcast clouds
228,Honiara,SB,-9.4333,159.95,84.15,75,66,2.19,broken clouds
229,Arraial Do Cabo,BR,-22.9661,-42.0278,71.91,77,97,13.96,overcast clouds
230,Faanui,PF,-16.4833,-151.75,79.66,72,93,1.34,overcast clouds
231,Rio Gallegos,AR,-51.6226,-69.2181,51.85,50,0,33.38,clear sky
232,Basco,PH,20.4487,121.9702,80.87,71,6,16.55,clear sky
233,Arona,ES,28.0996,-16.681,64.9,53,0,3.44,clear sky
234,Marzuq,YE,14.4,46.4667,61.11,58,2,1.21,clear sky
235,Grindavik,IS,63.8424,-22.4338,48.15,87,75,25.32,broken clouds
236,Canon City,US,38.441,-105.2424,33.01,39,0,8.05,clear sky
237,Afantou,GR,36.2935,28.1623,62.31,77,40,2.3,scattered clouds
238,Hirado,JP,33.3597,129.5531,59.4,54,100,2.48,overcast clouds
239,Tura,IN,25.5198,90.2201,68.41,77,0,2.86,clear sky
240,Kruisfontein,ZA,-34.0033,24.7314,57.88,70,100,6.85,overcast clouds
241,Fulton,US,33.7668,-84.4499,44.24,73,0,6.91,clear sky
242,Borovskoy,KZ,53.8,64.15,7.54,91,12,3.44,few clouds
243,Boffa,GN,10.1667,-14.0333,72.5,77,100,2.26,overcast clouds
244,Kendari,ID,-3.945,122.4989,81.05,79,100,4.83,overcast clouds
245,Hovd,MN,48.0056,91.6419,30.42,45,14,13.91,few clouds
246,Cabo San Lucas,MX,22.8909,-109.9124,78.51,67,40,8.05,scattered clouds
247,La Ronge,CA,55.1001,-105.2842,14.25,73,100,19.57,light snow
248,Mata,PT,40.683,-7.4592,59.94,98,100,11.86,light rain
249,Karasuk,RU,53.7377,78.0403,17.17,85,100,13.4,overcast clouds
250,Uige,AO,-7.6087,15.0613,63.05,95,100,2.28,overcast clouds
251,Paamiut,GL,61.994,-49.6678,11.48,80,49,9.28,scattered clouds
252,Prado,BR,-17.3411,-39.2208,73.2,94,100,4.03,light rain
253,Keti Bandar,PK,24.1447,67.4497,76.19,66,0,7.63,clear sky
254,Anchorage,US,61.2181,-149.9003,29.28,78,0,6.91,clear sky
255,Carnarvon,AU,-24.8667,113.6333,68.4,51,91,15.5,overcast clouds
256,Aswan,EG,24.0934,32.907,62.24,46,100,8.32,overcast clouds
