City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Turayf,SA,2022-11-13 00:00:39,31.6725,38.6637,59.56,74,0,13.22
123,Beringovskiy,RU,2022-11-13 00:00:39,63.05,179.3167,10.54,98,100,8.37
124,Kruisfontein,ZA,2022-11-13 00:00:40,-34.0033,24.7314,60.89,64,28,18.21
125,Geraldton,AU,2022-11-13 00:00:40,-28.7667,114.6,61.21,63,0,10.36
126,Harper,LR,2022-11-13 00:00:41,4.375,-7.7169,77.45,88,56,6.13
127,Faanui,PF,2022-11-13 00:00:41,-16.4833,-151.75,76.26,85,100,15.19
128,Ljungby,SE,2022-11-13 00:00:42,56.8332,13.9408,50.41,90,96,2.95
129,Brattleboro,US,2022-11-13 00:00:42,42.8509,-72.5579,53.55,83,51,1.01
130,Twentynine Palms,US,2022-11-13 00:00:43,34.1356,-116.0542,64.13,18,0,1.99
131,Atuona,PF,2022-11-13 00:00:43,-9.8,-139.0333,77.99,77,4,14.2
132,Mokhsogollokh,RU,2022-11-13 00:00:44,61.4681,128.9203,22.78,93,100,12.17
133,Novokayakent,RU,2022-11-13 00:00:44,42.3937,47.9861,51.85,64,12,3.22
134,Saint Anthony,US,2022-11-13 00:00:45,45.0205,-93.218,28.26,65,100,11.5
135,Mar Del Plata,AR,2022-11-13 00:00:00,-38.0023,-57.5575,66.09,95,100,8.05
136,Georgetown,MY,2022-11-12 23:57:35,5.4112,100.3354,80.24,95,20,0.0
137,Saint George,US,2022-11-13 00:00:28,37.1041,-113.5841,59.25,26,0,4.61
138,Provideniya,RU,2022-11-13 00:00:46,64.3833,-173.3,15.93,75,3,8.9
139,Siilinjarvi,FI,2022-11-13 00:00:46,63.0833,27.6667,41.02,75,100,26.46
140,Castro,BR,2022-11-13 00:01:47,-24.7911,-50.0119,62.11,89,69,2.86
141,Berlevag,NO,2022-11-13 00:01:47,70.8578,29.0864,37.35,65,75,5.75
142,Oum Hadjer,TD,2022-11-13 00:01:48,13.2954,19.6966,76.24,25,3,10.33
143,Yar-Sale,RU,2022-11-13 00:01:48,66.8333,70.8333,-3.35,98,79,10.69
144,Kindu,CD,2022-11-13 00:01:48,-2.95,25.95,68.43,88,89,1.57
145,Sala,MA,2022-11-13 00:01:49,34.0389,-6.8166,62.74,82,4,4.61
146,Bredasdorp,ZA,2022-11-13 00:01:49,-34.5322,20.0403,60.35,81,3,10.42
147,Tiksi,RU,2022-11-13 00:01:50,71.6872,128.8694,-16.73,100,99,3.62
148,Praia,CV,2022-11-13 00:00:26,14.9215,-23.5087,75.83,78,34,11.5
149,Podporozhye,RU,2022-11-13 00:01:50,60.9112,34.1706,41.23,75,65,14.97
150,Roswell,US,2022-11-13 00:01:50,34.0232,-84.3616,51.58,80,100,11.5
151,Mehamn,NO,2022-11-13 00:01:51,71.0357,27.8492,37.31,93,75,5.75
152,Whitehorse,CA,2022-11-12 23:59:18,60.7161,-135.0538,36.37,64,75,24.16
153,Crotone,IT,2022-11-13 00:01:51,39.0851,17.1178,55.18,76,70,12.46
154,Cherskiy,RU,2022-11-13 00:01:52,68.75,161.3,-13.49,96,100,9.71
155,Nikolskoye,RU,2022-11-13 00:01:52,59.7035,30.7861,48.09,62,47,17.63
156,Butaritari,KI,2022-11-13 00:01:53,3.0707,172.7902,80.19,73,100,14.25
157,Sinop,TR,2022-11-13 00:01:53,41.7711,34.8709,46.06,81,22,4.38
158,Ribeira Grande,PT,2022-11-13 00:01:54,38.5167,-28.7,58.77,73,100,1.01
159,Komsomolskiy,UZ,2022-11-13 00:01:54,40.4272,71.7189,32.72,93,100,4.61
160,Kieta,PG,2022-11-13 00:01:55,-6.2167,155.6333,82.27,77,100,3.06
161,Kitimat,CA,2022-11-13 00:00:43,54.0524,-128.6534,34.92,40,100,1.12
162,Trincomalee,LK,2022-11-13 00:01:55,8.5711,81.2335,76.5,84,100,4.05
163,Tazovskiy,RU,2022-11-13 00:01:55,67.4667,78.7,-16.31,92,18,7.52
164,Fukue,JP,2022-11-13 00:01:56,32.6881,128.8419,68.36,100,75,3.44
165,Arman,RU,2022-11-13 00:01:56,59.7,150.1667,-1.16,84,46,8.03
166,Bluff,NZ,2022-11-13 00:01:57,-46.6,168.3333,50.67,87,100,14.34
167,Antofagasta,CL,2022-11-13 00:01:57,-23.65,-70.4,61.57,79,8,5.37
168,Esna,EG,2022-11-13 00:01:59,25.2934,32.554,66.99,46,7,9.35
169,Sisimiut,GL,2022-11-13 00:01:59,66.9395,-53.6735,16.47,77,89,5.5
170,Jumla,NP,2022-11-13 00:01:59,29.2747,82.1838,36.9,33,0,4.27
171,Matara,LK,2022-11-13 00:02:00,5.9485,80.5353,76.5,87,100,3.58
172,Asau,RO,2022-11-13 00:02:00,46.4333,26.4,31.12,71,62,4.56
173,Saquena,PE,2022-11-13 00:02:01,-4.6667,-73.5167,81.36,73,100,1.83
174,Port Hedland,AU,2022-11-12 23:58:59,-20.3167,118.5667,80.65,50,0,4.61
175,Constitucion,CL,2022-11-13 00:02:23,-35.3333,-72.4167,53.71,90,23,8.03
176,Asyut,EG,2022-11-13 00:02:23,27.181,31.1837,63.7,62,1,7.65
177,Telesti,RO,2022-11-13 00:02:24,45.0,23.0833,43.56,78,17,1.12
178,Vanavara,RU,2022-11-13 00:02:24,60.34,102.2797,13.03,95,100,4.59
179,Sioux Lookout,CA,2022-11-13 00:02:24,50.1001,-91.917,14.65,96,100,4.23
180,Abu Dhabi,AE,2022-11-13 00:00:01,24.4667,54.3667,78.96,83,0,3.27
181,Tilichiki,RU,2022-11-13 00:02:25,60.4667,166.1,18.07,88,100,6.38
182,Maniitsoq,GL,2022-11-13 00:02:25,65.4167,-52.9,29.37,63,100,7.96
183,San Miguel El Alto,MX,2022-11-13 00:02:26,21.0167,-102.35,68.85,37,0,8.05
184,Ocampo,MX,2022-11-13 00:02:26,21.65,-101.5,62.92,30,0,5.79
185,Souillac,MU,2022-11-13 00:01:04,-20.5167,57.5167,70.25,75,1,5.48
186,Sobolevo,RU,2022-11-13 00:03:26,54.4299,31.8996,47.35,84,54,16.46
187,Opuwo,NA,2022-11-13 00:03:27,-18.0607,13.84,58.77,40,34,5.97
188,Carnarvon,AU,2022-11-13 00:03:27,-24.8667,113.6333,66.31,41,0,19.77
189,Klaksvik,FO,2022-11-13 00:03:28,62.2266,-6.589,49.12,93,100,17.87
190,Puerto Carreno,CO,2022-11-13 00:03:28,6.189,-67.4859,78.98,85,100,4.16
191,Igrim,RU,2022-11-13 00:03:28,63.1906,64.4162,2.16,97,93,5.17
192,Chimbote,PE,2022-11-13 00:03:29,-9.0853,-78.5783,64.13,80,58,9.01
193,Lethem,GY,2022-11-13 00:03:29,3.3803,-59.7968,77.27,86,94,7.0
194,Lodwar,KE,2022-11-13 00:03:30,3.1191,35.5973,82.36,50,100,7.31
195,Belaya Gora,RU,2022-11-13 00:03:30,68.5333,146.4167,-31.43,100,86,3.89
196,Taoudenni,ML,2022-11-13 00:03:31,22.6783,-3.9836,74.97,17,0,11.77
197,Timbiqui,CO,2022-11-13 00:03:31,2.7717,-77.6654,74.23,92,100,4.79
198,Hamilton,US,2022-11-13 00:03:31,39.1834,-84.5333,33.24,87,100,6.91
199,Kendari,ID,2022-11-13 00:03:32,-3.945,122.4989,80.38,86,85,4.92
200,The Valley,AI,2022-11-13 00:03:32,18.217,-63.0578,81.1,76,14,15.75
201,Lucea,JM,2022-11-13 00:03:32,18.451,-78.1736,75.85,77,100,6.76
202,Praia Da Vitoria,PT,2022-11-13 00:03:33,38.7333,-27.0667,59.76,73,100,19.1
203,Lapua,FI,2022-11-13 00:03:33,62.9693,23.0088,43.3,73,14,10.07
204,Barstow,US,2022-11-13 00:00:04,34.8986,-117.0228,62.17,18,0,13.0
205,Sefton,NZ,2022-11-13 00:03:34,-43.25,172.6667,73.45,64,69,10.85
206,Barrow,US,2022-11-13 00:00:37,71.2906,-156.7887,12.22,92,100,6.91
